split,probability,n,positives,threshold,auc,pr_auc,precision,recall,f1,brier,ece,top20_recall,top50_recall,top100_recall
train,uncalibrated,32345,5210,0.75,0.795939796998515,0.5006337717737996,0.6945848375451263,0.3692898272552783,0.48220551378446114,0.16495997388112038,0.23208855131394873,0.0028790786948176585,0.0067178502879078695,0.01401151631477927
train,temperature_calibrated,32345,5210,0.37000000000000005,0.795939796998515,0.5006337717737996,0.6983606557377049,0.36794625719769675,0.4819610307982401,0.11334924185265617,0.0418891277045462,0.0028790786948176585,0.0067178502879078695,0.01401151631477927
calibration,uncalibrated,8099,1121,0.75,0.7758088438520554,0.3994380018761851,0.5320304017372421,0.43710972346119537,0.47992164544564153,0.1860436072437546,0.2808454597245156,0.008028545941123996,0.030330062444246207,0.05084745762711865
calibration,temperature_calibrated,8099,1121,0.37000000000000005,0.7758088438520554,0.3994380018761851,0.5348066298342542,0.431757359500446,0.4777887462981244,0.10283406071758303,0.03481164776616138,0.008028545941123996,0.030330062444246207,0.05084745762711865
test,uncalibrated,7183,1076,0.75,0.7270336374311153,0.42000106753221755,0.68561872909699,0.38104089219330856,0.48984468339307047,0.20507830045326828,0.2807129485579246,0.011152416356877323,0.02509293680297398,0.05483271375464684
test,temperature_calibrated,7183,1076,0.37000000000000005,0.7270336374311153,0.42000106753221755,0.7175438596491228,0.38011152416356875,0.49696233292831105,0.11753253367927435,0.08101359173460361,0.011152416356877323,0.02509293680297398,0.05483271375464684
