probability_input,batches,mean_positives_found,mean_positive_coverage,mean_positives_per_patrol_hour,mean_distance_km,mean_expected_unresolved_count
uncalibrated_point_route,12,3.416667,0.785518,0.214289,151.653591,2.401042
calibrated_point_route,12,3.083333,0.664305,0.188702,164.703639,0.179688
