nominal_coverage,split,n,positives,empirical_coverage,mean_interval_width,mean_downside_radius,global_radius,bin_edges,bin_radii
0.8,train,32345,5210,0.7718349049312104,0.27785425445671347,0.119055219246454,0.3658308296254563,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056450|1:0.058954|2:0.062907|3:0.213067|4:0.592909
0.8,calibration,8099,1121,0.8014569699962958,0.33500354172639984,0.13821488706154636,0.3658308296254563,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056450|1:0.058954|2:0.062907|3:0.213067|4:0.592909
0.8,test,7183,1076,0.7306139496032299,0.34961661947063716,0.1445931230242149,0.3658308296254563,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056450|1:0.058954|2:0.062907|3:0.213067|4:0.592909
0.9,train,32345,5210,0.8688514453547689,0.39598973857335784,0.11918386187639735,0.5954377233554315,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056820|1:0.059214|2:0.071968|3:0.797966|4:0.599159
0.9,calibration,8099,1121,0.9006050129645635,0.4545190267227245,0.13840622389599033,0.5954377233554315,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056820|1:0.059214|2:0.071968|3:0.797966|4:0.599159
0.9,test,7183,1076,0.879576778504803,0.453562930071197,0.14503206317918663,0.5954377233554315,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056820|1:0.059214|2:0.071968|3:0.797966|4:0.599159
0.95,train,32345,5210,0.9321688050703354,0.5895191528538335,0.11918674527784467,0.8121404271733628,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056957|1:0.059348|2:0.938698|3:0.888149|4:0.636164
0.95,calibration,8099,1121,0.9506111865662428,0.6418683530054496,0.13840919986347885,0.8121404271733628,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056957|1:0.059348|2:0.938698|3:0.888149|4:0.636164
0.95,test,7183,1076,0.939579562856745,0.6681722559773156,0.14503540798029255,0.8121404271733628,0.000000|0.056977|0.059366|0.072882|0.222045|1.000000,0:0.056957|1:0.059348|2:0.938698|3:0.888149|4:0.636164
